CAMIS,DBA,BORO,BUILDING,STREET,NEIGHBOURHOOD,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,CITY,STATUS,Restaurant Name,Area,Cuisine Type,Hygiene Score,Hygiene Rating,Inspector Comments,Is_Brand
30000519,Domino's Pizza Allama,Lahore,112,Ferozepur Rd,Allama Iqbal Town,54740,+92-312-2055548,Pizza,2022-09-16,Re-inspection Required,Not Critical,77,B,2022-10-06,2022-10-05,Routine Inspection,31.461797,74.347659,Lahore,Active,Domino's Pizza Allama,Allama Iqbal Town,Pizza,77,Good,Storage practices need improvement.,True
30000520,McDonald's Liberty,Lahore,267,Main Blvd,Liberty Market,54060,+92-310-4421831,Cafe,2024-08-06,Re-inspection Required,Not Critical,83,B,2024-08-30,2024-09-05,Enforcement Raid,31.553736,74.217418,Lahore,Active,McDonald's Liberty,Liberty Market,Cafe,83,Good,Packaging labels missing; hygiene average.,True
30000521,Salt'n Pepper,Lahore,91,Mall Rd,Packages Mall,54780,+92-320-5367791,Chinese,2023-06-29,Re-inspection Required,Not Critical,81,B,2023-07-26,2023-08-04,Routine Inspection,31.515087,74.323722,Lahore,Active,Salt'n Pepper,Packages Mall,Chinese,81,Good,Pests not observed but sanitation needs work.,True
30000522,KFC Walton,Lahore,419,Main Blvd,Walton Road,54040,+92-335-5044801,Fast Food,2022-07-29,Re-inspection Required,Not Critical,83,B,2022-08-20,2022-08-26,Routine Inspection,31.579084,74.23511,Lahore,Active,KFC Walton,Walton Road,Fast Food,83,Good,Packaging labels missing; hygiene average.,True
30000523,Tim Hortons,Lahore,352,Canal Bank Rd,Gaddafi Stadium,54780,+92-313-4123052,Cafe,2022-03-01,Re-inspection Required,Not Critical,77,B,2022-03-19,2022-04-06,Follow-up,31.598199,74.376312,Lahore,Active,Tim Hortons,Gaddafi Stadium,Cafe,77,Good,Storage practices need improvement.,True
30000524,Monal Ferozepur,Lahore,376,Service Rd,Ferozepur Road,54770,+92-337-2264379,Burgers,2023-04-29,Fine Imposed,Not Critical,62,C,2023-05-27,2023-05-09,Complaint-Based,31.580664,74.340494,Lahore,Active,Monal Ferozepur,Ferozepur Road,Burgers,62,Average,Packaging labels missing; hygiene average.,True
30000525,Papa John's,Lahore,405,Shadman Rd,Shadman,54030,+92-319-5475796,Pizza,2024-05-05,Advisory Issued,Not Critical,100,A,2024-05-28,2024-06-05,Follow-up,31.482312,74.278616,Lahore,Active,Papa John's,Shadman,Pizza,100,Excellent,Clean premises; food handlers wearing gloves.,True
30000526,Gloria Jean's MM,Lahore,483,Main Blvd,MM Alam Road,54660,+92-316-9357022,Cafe,2022-08-27,Warning Issued,Not Critical,82,B,2022-08-27,2022-09-07,Follow-up,31.538028,74.232418,Lahore,Active,Gloria Jean's MM,MM Alam Road,Cafe,82,Good,Chilled items slightly above recommended temp.,True
30000527,Pizza Hut,Lahore,127,Central Ave,Model Town,54700,+92-333-9350035,Pizza,2022-08-19,Advisory Issued,Not Critical,86,A,2022-08-23,2022-09-25,Follow-up,31.476134,74.205616,Lahore,Active,Pizza Hut,Model Town,Pizza,86,Excellent,Kitchen hygiene satisfactory.,True
30000528,KFC,Lahore,69,Main Blvd,Liberty Market,54060,+92-303-4161506,Fast Food,2022-12-21,Advisory Issued,Not Critical,90,A,2023-01-14,2023-01-25,Enforcement Raid,31.571316,74.387945,Lahore,Active,KFC,Liberty Market,Fast Food,90,Excellent,Staff medicals up-to-date; maintain temperatures.,True
30000529,Papa John's Johar,Lahore,266,Main Blvd,Johar Town,54782,+92-42-8465738,Pizza,2023-12-17,Warning Issued,Not Critical,71,B,2024-01-07,2024-01-18,Complaint-Based,31.486931,74.327485,Lahore,Active,Papa John's Johar,Johar Town,Pizza,71,Good,Packaging labels missing; hygiene average.,True
30000530,Pizza Hut Township,Lahore,474,Township Rd,Township,54790,+92-317-6068456,Pizza,2023-04-29,Fine Imposed,Not Critical,50,C,2023-05-25,2023-06-04,Complaint-Based,31.471896,74.213282,Lahore,Active,Pizza Hut Township,Township,Pizza,50,Average,Chilled items slightly above recommended temp.,True
30000531,Papa John's Model,Lahore,489,Central Ave,Model Town,54700,+92-305-1383201,Pizza,2022-11-02,Re-inspection Required,Not Critical,62,C,2022-12-02,2022-12-09,Complaint-Based,31.582802,74.218495,Lahore,Active,Papa John's Model,Model Town,Pizza,62,Average,Packaging labels missing; hygiene average.,True
30000532,KFC,Lahore,245,MM Alam Rd,MM Alam Road,54660,+92-312-1082417,Fast Food,2024-05-01,Sealed,Critical,32,D,2024-05-03,2024-06-08,Routine Inspection,31.479037,74.209683,Lahore,Under Investigation,KFC,MM Alam Road,Fast Food,32,Poor,Expired items found; immediate action required.,True
30000533,Broadway Pizza,Lahore,375,MM Alam Rd,MM Alam Road,54660,+92-307-8723303,Pizza,2024-04-19,No Action Needed,Not Critical,85,A,2024-04-20,2024-04-26,Routine Inspection,31.473187,74.276516,Lahore,Active,Broadway Pizza,MM Alam Road,Pizza,85,Excellent,Kitchen hygiene satisfactory.,True
30000534,McDonald's Samanabad,Lahore,67,Samanabad Rd,Samanabad,54760,+92-302-8490876,BBQ,2023-12-04,Warning Issued,Not Critical,74,B,2024-01-02,2023-12-19,Follow-up,31.635097,74.349355,Lahore,Active,McDonald's Samanabad,Samanabad,BBQ,74,Good,Some utensils dirty; advised deep clean.,True
30000535,McDonald's,Lahore,19,Main Blvd,Gulberg,54660,+92-324-6659176,Pizza,2022-01-28,Re-inspection Required,Not Critical,67,C,2022-02-25,2022-03-11,Complaint-Based,31.60533,74.220726,Lahore,Active,McDonald's,Gulberg,Pizza,67,Average,Pests not observed but sanitation needs work.,True
30000536,Texas Chicken Liberty,Lahore,91,Liberty Market,Liberty Market,54060,+92-335-7623371,Fast Food,2024-12-10,No Action Needed,Not Critical,95,A,2024-12-28,2025-01-21,Complaint-Based,31.646397,74.230026,Lahore,Active,Texas Chicken Liberty,Liberty Market,Fast Food,95,Excellent,Minor record-keeping issues; overall good.,True
30000537,Subway Walton,Lahore,193,Walton Rd,Walton Road,54040,+92-337-4248973,Chinese,2023-12-18,Re-inspection Required,Not Critical,73,B,2024-01-12,2024-01-28,Routine Inspection,31.611072,74.242924,Lahore,Active,Subway Walton,Walton Road,Chinese,73,Good,Pests not observed but sanitation needs work.,True
30000538,Dunkin' Donuts DHA,Lahore,306,DHA Main Blvd,DHA Phase 3,54810,+92-337-9330861,Cafe,2022-02-04,Warning Issued,Not Critical,63,C,2022-02-07,2022-02-13,Complaint-Based,31.488151,74.387034,Lahore,Active,Dunkin' Donuts DHA,DHA Phase 3,Cafe,63,Average,No medical certificates for staff; poor hygiene.,True
30000539,Papa John's Gulberg,Lahore,168,Gulberg III Road,Gulberg,54660,+92-308-4556981,Pizza,2022-02-25,Re-inspection Required,Not Critical,76,B,2022-02-25,2022-03-06,Enforcement Raid,31.636037,74.284492,Lahore,Active,Papa John's Gulberg,Gulberg,Pizza,76,Good,Chilled items slightly above recommended temp.,True
30000540,Gloria Jean's DHA,Lahore,315,Commercial Ave,DHA Phase 5,54792,+92-331-5662904,Cafe,2022-05-04,Re-inspection Required,Not Critical,84,B,2022-05-18,2022-05-09,Enforcement Raid,31.53524,74.318163,Lahore,Active,Gloria Jean's DHA,DHA Phase 5,Cafe,84,Good,Packaging labels missing; hygiene average.,True
30000541,Gloria Jean's,Lahore,117,Liberty Market,Liberty Market,54060,+92-42-2906938,Cafe,2023-12-03,No Action Needed,Not Critical,88,A,2023-12-29,2024-01-15,Routine Inspection,31.494367,74.342066,Lahore,Active,Gloria Jean's,Liberty Market,Cafe,88,Excellent,Minor record-keeping issues; overall good.,True
30000542,Pizza Hut,Lahore,17,College Rd,Johar Town,54782,+92-339-7093262,Pizza,2024-04-10,Fine Imposed,Critical,48,D,2024-04-21,2024-05-07,Complaint-Based,31.574581,74.274178,Lahore,Under Investigation,Pizza Hut,Johar Town,Pizza,48,Poor,Unsafe storage and mold in refrigerated unit.,True
30000543,Monal,Lahore,347,Market Rd,Samanabad,54760,+92-311-5128831,Burgers,2024-09-09,Warning Issued,Not Critical,62,C,2024-09-23,2024-10-06,Routine Inspection,31.472112,74.310988,Lahore,Active,Monal,Samanabad,Burgers,62,Average,Some utensils dirty; advised deep clean.,True
30000544,KFC DHA,Lahore,409,DHA Main Blvd,DHA Phase 5,54792,+92-301-7921821,Fast Food,2023-04-16,Advisory Issued,Not Critical,96,A,2023-05-10,2023-04-21,Enforcement Raid,31.482375,74.303256,Lahore,Active,KFC DHA,DHA Phase 5,Fast Food,96,Excellent,Storage organized; recommend improved handwashing.,True
30000545,Dunkin' Donuts,Lahore,7,Model Town Rd,Model Town,54700,+92-323-8512186,Cafe,2022-08-08,Passed,Not Critical,90,A,2022-08-11,2022-08-29,Routine Inspection,31.542691,74.239097,Lahore,Active,Dunkin' Donuts,Model Town,Cafe,90,Excellent,Kitchen hygiene satisfactory.,True
30000546,Tim Hortons,Lahore,210,Canal Bank Rd,Gaddafi Stadium,54780,+92-329-4845153,Cafe,2023-11-12,Advisory Issued,Not Critical,90,A,2023-11-23,2023-12-15,Complaint-Based,31.548407,74.239899,Lahore,Active,Tim Hortons,Gaddafi Stadium,Cafe,90,Excellent,Staff medicals up-to-date; maintain temperatures.,True
30000547,Gloria Jean's,Lahore,90,Central Ave,DHA Phase 3,54810,+92-301-8299701,Cafe,2023-01-08,Passed,Not Critical,88,A,2023-01-29,2023-01-30,Enforcement Raid,31.535182,74.285897,Lahore,Active,Gloria Jean's,DHA Phase 3,Cafe,88,Excellent,Minor record-keeping issues; overall good.,True
30000548,Subway Fortress,Lahore,255,Fortress Stadium Rd,Fortress Stadium,54070,+92-300-6599609,Pizza,2023-02-15,Warning Issued,Not Critical,62,C,2023-03-16,2023-03-03,Enforcement Raid,31.627927,74.287362,Lahore,Active,Subway Fortress,Fortress Stadium,Pizza,62,Average,Chilled items slightly above recommended temp.,True
30000549,Pizza Hut Township,Lahore,41,Township Rd,Township,54790,+92-308-8969234,Pizza,2022-02-08,Advisory Issued,Not Critical,94,A,2022-02-21,2022-03-07,Routine Inspection,31.51212,74.266066,Lahore,Active,Pizza Hut Township,Township,Pizza,94,Excellent,Storage organized; recommend improved handwashing.,True
30000550,McDonald's Township,Lahore,13,Township Rd,Township,54790,+92-337-9147916,Desi,2022-09-12,Sealed,Critical,31,D,2022-09-30,2022-09-27,Routine Inspection,31.614109,74.312584,Lahore,Under Investigation,McDonald's Township,Township,Desi,31,Poor,Contaminated oil observed; seal recommended.,True
30000551,KFC,Lahore,294,Commercial Ave,DHA Phase 5,54792,+92-304-6312772,Fast Food,2022-12-19,Passed,Not Critical,99,A,2023-01-04,2022-12-21,Complaint-Based,31.579317,74.319587,Lahore,Active,KFC,DHA Phase 5,Fast Food,99,Excellent,Staff medicals up-to-date; maintain temperatures.,True
30000552,Broadway Pizza,Lahore,476,Main Blvd,MM Alam Road,54660,+92-304-4333025,Pizza,2024-08-06,Re-inspection Required,Not Critical,70,B,2024-09-01,2024-09-01,Enforcement Raid,31.570597,74.349981,Lahore,Active,Broadway Pizza,MM Alam Road,Pizza,70,Good,Storage practices need improvement.,True
30000553,Broadway Pizza Fortress,Lahore,211,Fortress Stadium Rd,Fortress Stadium,54070,+92-331-5809273,Pizza,2022-04-11,Warning Issued,Not Critical,84,B,2022-04-18,2022-04-25,Follow-up,31.602439,74.287379,Lahore,Active,Broadway Pizza Fortress,Fortress Stadium,Pizza,84,Good,Some utensils dirty; advised deep clean.,True
30000554,Tim Hortons Model,Lahore,378,Central Ave,Model Town,54700,+92-338-5850391,Cafe,2022-08-22,Sealed,Critical,44,D,2022-09-13,2022-09-07,Follow-up,31.626685,74.369624,Lahore,Closed,Tim Hortons Model,Model Town,Cafe,44,Poor,Expired items found; immediate action required.,True
30000555,Texas Chicken,Lahore,14,Market Rd,Samanabad,54760,+92-329-3877765,Fast Food,2022-08-05,No Action Needed,Not Critical,90,A,2022-08-26,2022-09-16,Routine Inspection,31.576165,74.332088,Lahore,Active,Texas Chicken,Samanabad,Fast Food,90,Excellent,Minor record-keeping issues; overall good.,True
30000556,Burger King Model,Lahore,49,Model Town Rd,Model Town,54700,+92-339-9605960,Continental,2024-10-30,Warning Issued,Not Critical,72,B,2024-11-27,2024-11-08,Routine Inspection,31.4667,74.288891,Lahore,Active,Burger King Model,Model Town,Continental,72,Good,Storage practices need improvement.,True
30000557,Broadway Pizza Gaddafi,Lahore,375,Stadium Rd,Gaddafi Stadium,54780,+92-42-9637585,Pizza,2022-03-04,Re-inspection Required,Not Critical,73,B,2022-03-21,2022-03-29,Complaint-Based,31.510823,74.227648,Lahore,Active,Broadway Pizza Gaddafi,Gaddafi Stadium,Pizza,73,Good,Storage practices need improvement.,True
30000558,McDonald's DHA,Lahore,232,Central Ave,DHA Phase 3,54810,+92-314-8387907,Cafe,2024-02-05,Re-inspection Required,Not Critical,75,B,2024-02-06,2024-02-06,Complaint-Based,31.558019,74.283758,Lahore,Active,McDonald's DHA,DHA Phase 3,Cafe,75,Good,Chilled items slightly above recommended temp.,True
30000559,Burger King Shahdara,Lahore,243,Shahdara Rd,Shahdara,54050,+92-311-4169456,Italian,2022-06-24,Re-inspection Required,Not Critical,81,B,2022-07-18,2022-08-04,Routine Inspection,31.63683,74.30218,Lahore,Active,Burger King Shahdara,Shahdara,Italian,81,Good,Packaging labels missing; hygiene average.,True
30000560,Broadway Pizza,Lahore,346,Main Blvd,Cavalry,54020,+92-338-8104723,Pizza,2024-10-30,Advisory Issued,Not Critical,86,A,2024-11-17,2024-12-11,Enforcement Raid,31.582917,74.210005,Lahore,Active,Broadway Pizza,Cavalry,Pizza,86,Excellent,Kitchen hygiene satisfactory.,True
30000561,Broadway Pizza,Lahore,302,MM Alam Rd,Gulberg,54660,+92-316-2483726,Pizza,2024-05-17,No Action Needed,Not Critical,96,A,2024-06-01,2024-06-21,Follow-up,31.485406,74.256823,Lahore,Active,Broadway Pizza,Gulberg,Pizza,96,Excellent,Storage organized; recommend improved handwashing.,True
30000562,Tim Hortons,Lahore,286,Main Blvd,Cavalry,54020,+92-322-2795311,Cafe,2024-07-31,Warning Issued,Not Critical,73,B,2024-08-05,2024-08-18,Routine Inspection,31.626953,74.385245,Lahore,Active,Tim Hortons,Cavalry,Cafe,73,Good,Chilled items slightly above recommended temp.,True
30000563,Papa John's Allama,Lahore,428,Central Ave,Allama Iqbal Town,54740,+92-315-5443133,Pizza,2024-05-29,Passed,Not Critical,97,A,2024-06-07,2024-06-07,Routine Inspection,31.538789,74.23059,Lahore,Active,Papa John's Allama,Allama Iqbal Town,Pizza,97,Excellent,Minor record-keeping issues; overall good.,True
30000564,Papa John's Cavalry,Lahore,53,Canal Bank Rd,Cavalry,54020,+92-322-5079515,Pizza,2024-04-12,Re-inspection Required,Not Critical,83,B,2024-04-12,2024-05-14,Follow-up,31.503184,74.280026,Lahore,Active,Papa John's Cavalry,Cavalry,Pizza,83,Good,Pests not observed but sanitation needs work.,True
30000565,OPTP Samanabad,Lahore,117,Samanabad Rd,Samanabad,54760,+92-42-3417296,Burgers,2024-03-20,Passed,Not Critical,87,A,2024-04-03,2024-04-27,Routine Inspection,31.534983,74.324648,Lahore,Active,OPTP Samanabad,Samanabad,Burgers,87,Excellent,Kitchen hygiene satisfactory.,True
30000566,Broadway Pizza Raiwind,Lahore,46,Raiwind Rd,Raiwind Road,54650,+92-307-5165533,Pizza,2024-01-03,Re-inspection Required,Not Critical,69,C,2024-01-29,2024-01-13,Follow-up,31.592947,74.221592,Lahore,Active,Broadway Pizza Raiwind,Raiwind Road,Pizza,69,Average,Packaging labels missing; hygiene average.,True
30000567,Pizza Hut Walton,Lahore,244,Walton Rd,Walton Road,54040,+92-315-1734688,Pizza,2023-06-06,Re-inspection Required,Not Critical,83,B,2023-06-18,2023-06-27,Routine Inspection,31.632002,74.272063,Lahore,Active,Pizza Hut Walton,Walton Road,Pizza,83,Good,Chilled items slightly above recommended temp.,True
30000568,Salt'n Pepper Ferozepur,Lahore,385,Service Rd,Ferozepur Road,54770,+92-307-2633454,Italian,2023-10-14,Re-inspection Required,Not Critical,73,B,2023-11-05,2023-11-01,Complaint-Based,31.455651,74.313444,Lahore,Active,Salt'n Pepper Ferozepur,Ferozepur Road,Italian,73,Good,Packaging labels missing; hygiene average.,True
30000569,Salt'n Pepper,Lahore,433,Mall Rd,Fortress Stadium,54070,+92-330-2096115,Cafe,2022-09-17,Re-inspection Required,Not Critical,69,C,2022-10-05,2022-10-21,Routine Inspection,31.559341,74.391285,Lahore,Active,Salt'n Pepper,Fortress Stadium,Cafe,69,Average,Storage practices need improvement.,True
30000570,Dunkin' Donuts Liberty,Lahore,444,Main Blvd,Liberty Market,54060,+92-309-2625680,Cafe,2023-07-11,Advisory Issued,Not Critical,94,A,2023-07-27,2023-07-17,Follow-up,31.617947,74.32451,Lahore,Active,Dunkin' Donuts Liberty,Liberty Market,Cafe,94,Excellent,Staff medicals up-to-date; maintain temperatures.,True
30000571,KFC,Lahore,321,Central Ave,Township,54790,+92-339-5177120,Fast Food,2024-03-21,Warning Issued,Not Critical,68,C,2024-03-30,2024-04-22,Enforcement Raid,31.563444,74.337738,Lahore,Active,KFC,Township,Fast Food,68,Average,Some utensils dirty; advised deep clean.,True
30000572,Monal,Lahore,168,Thokar Rd,Shahdara,54050,+92-42-1938236,Fast Food,2022-09-12,Re-inspection Required,Not Critical,71,B,2022-09-13,2022-10-25,Enforcement Raid,31.648937,74.249279,Lahore,Active,Monal,Shahdara,Fast Food,71,Good,Packaging labels missing; hygiene average.,True
30000573,Hardee's,Lahore,456,Shahdara Rd,Shahdara,54050,+92-304-8960467,Fast Food,2024-05-15,Fine Imposed,Not Critical,60,C,2024-06-10,2024-06-22,Enforcement Raid,31.491428,74.262878,Lahore,Active,Hardee's,Shahdara,Fast Food,60,Average,Expired items found; immediate action required.,True
30000574,Monal Model,Lahore,500,Central Ave,Model Town,54700,+92-332-5360488,Chinese,2024-02-02,Warning Issued,Not Critical,66,C,2024-02-02,2024-02-05,Routine Inspection,31.568823,74.330265,Lahore,Active,Monal Model,Model Town,Chinese,66,Average,Pests not observed but sanitation needs work.,True
30000575,Pizza Hut Old,Lahore,414,Temple Rd,Old Anarkali,54010,+92-337-5197957,Pizza,2023-01-02,Advisory Issued,Not Critical,96,A,2023-01-23,2023-01-19,Enforcement Raid,31.536268,74.282092,Lahore,Active,Pizza Hut Old,Old Anarkali,Pizza,96,Excellent,Minor record-keeping issues; overall good.,True
30000576,Domino's Pizza Samanabad,Lahore,405,Market Rd,Samanabad,54760,+92-319-6280588,Pizza,2024-05-17,Warning Issued,Not Critical,67,C,2024-05-27,2024-06-20,Routine Inspection,31.564242,74.356503,Lahore,Active,Domino's Pizza Samanabad,Samanabad,Pizza,67,Average,Pests not observed but sanitation needs work.,True
30000577,Tim Hortons,Lahore,394,Fortress Stadium Rd,Fortress Stadium,54070,+92-332-1484716,Cafe,2024-05-20,Advisory Issued,Not Critical,95,A,2024-06-14,2024-06-14,Enforcement Raid,31.606656,74.370858,Lahore,Active,Tim Hortons,Fortress Stadium,Cafe,95,Excellent,Clean premises; food handlers wearing gloves.,True
30000578,OPTP Packages,Lahore,395,Mall Rd,Packages Mall,54780,+92-303-2818628,Italian,2023-11-16,Fine Imposed,Not Critical,65,C,2023-12-15,2023-11-19,Routine Inspection,31.588959,74.335054,Lahore,Active,OPTP Packages,Packages Mall,Italian,65,Average,Chilled items slightly above recommended temp.,True
30000579,Subway Garden,Lahore,439,Canal Bank Rd,Garden Town,54750,+92-318-4037413,Desi,2024-05-26,Fine Imposed,Critical,45,D,2024-06-04,2024-06-20,Follow-up,31.602762,74.322655,Lahore,Under Investigation,Subway Garden,Garden Town,Desi,45,Poor,No medical certificates for staff; poor hygiene.,True
30000580,Broadway Pizza,Lahore,15,Cantt Rd,Lahore Cantt,54770,+92-306-2548539,Pizza,2024-02-02,Re-inspection Required,Not Critical,57,C,2024-02-28,2024-02-18,Enforcement Raid,31.648675,74.201224,Lahore,Active,Broadway Pizza,Lahore Cantt,Pizza,57,Average,No medical certificates for staff; poor hygiene.,True
30000581,Dunkin' Donuts,Lahore,8,Main Blvd,MM Alam Road,54660,+92-325-9073202,Cafe,2024-10-09,Sealed,Critical,34,D,2024-10-14,2024-11-14,Complaint-Based,31.538818,74.357119,Lahore,Closed,Dunkin' Donuts,MM Alam Road,Cafe,34,Poor,Significant cleanliness issues; pests present.,True
30000582,Domino's Pizza Cavalry,Lahore,477,Main Blvd,Cavalry,54020,+92-326-5414458,Pizza,2022-12-03,Fine Imposed,Not Critical,66,C,2022-12-07,2022-12-10,Follow-up,31.460694,74.305752,Lahore,Active,Domino's Pizza Cavalry,Cavalry,Pizza,66,Average,Packaging labels missing; hygiene average.,True
30000583,Salt'n Pepper,Lahore,377,Main Blvd,MM Alam Road,54660,+92-322-7473815,Cafe,2022-04-09,Re-inspection Required,Not Critical,80,B,2022-04-20,2022-04-25,Follow-up,31.511953,74.224681,Lahore,Active,Salt'n Pepper,MM Alam Road,Cafe,80,Good,Pests not observed but sanitation needs work.,True
30000584,OPTP Samanabad,Lahore,356,Market Rd,Samanabad,54760,+92-42-7184952,Burgers,2022-04-07,Advisory Issued,Not Critical,96,A,2022-04-16,2022-05-18,Complaint-Based,31.507041,74.293445,Lahore,Active,OPTP Samanabad,Samanabad,Burgers,96,Excellent,Clean premises; food handlers wearing gloves.,True
30000585,Gloria Jean's,Lahore,446,DHA Main Blvd,DHA Phase 3,54810,+92-312-3586439,Cafe,2024-07-05,Warning Issued,Not Critical,83,B,2024-07-26,2024-08-13,Routine Inspection,31.54015,74.380234,Lahore,Active,Gloria Jean's,DHA Phase 3,Cafe,83,Good,Packaging labels missing; hygiene average.,True
30000586,Dunkin' Donuts DHA,Lahore,392,DHA Main Blvd,DHA Phase 5,54792,+92-310-9208843,Cafe,2022-12-14,Passed,Not Critical,98,A,2022-12-26,2023-01-26,Follow-up,31.61393,74.379548,Lahore,Active,Dunkin' Donuts DHA,DHA Phase 5,Cafe,98,Excellent,Minor record-keeping issues; overall good.,True
30000587,Texas Chicken Shadman,Lahore,366,Shadman Rd,Shadman,54030,+92-304-7493199,Fast Food,2023-05-21,Warning Issued,Not Critical,64,C,2023-06-12,2023-06-30,Follow-up,31.45664,74.321776,Lahore,Active,Texas Chicken Shadman,Shadman,Fast Food,64,Average,Packaging labels missing; hygiene average.,True
30000588,OPTP Fortress,Lahore,167,Fortress Stadium Rd,Fortress Stadium,54070,+92-314-6553662,Pizza,2023-09-18,Passed,Not Critical,100,A,2023-09-21,2023-10-20,Routine Inspection,31.593031,74.279268,Lahore,Active,OPTP Fortress,Fortress Stadium,Pizza,100,Excellent,Staff medicals up-to-date; maintain temperatures.,True
30000589,Salt'n Pepper Liberty,Lahore,259,Liberty Market,Liberty Market,54060,+92-322-3889875,Burgers,2023-06-05,Advisory Issued,Not Critical,85,A,2023-06-13,2023-06-21,Enforcement Raid,31.460697,74.306347,Lahore,Active,Salt'n Pepper Liberty,Liberty Market,Burgers,85,Excellent,Storage organized; recommend improved handwashing.,True
30000590,Subway DHA,Lahore,451,Central Ave,DHA Phase 3,54810,+92-338-4648083,Desi,2022-08-08,Passed,Not Critical,100,A,2022-09-01,2022-09-19,Complaint-Based,31.498185,74.319151,Lahore,Active,Subway DHA,DHA Phase 3,Desi,100,Excellent,Clean premises; food handlers wearing gloves.,True
30000591,Texas Chicken Old,Lahore,275,Market Rd,Old Anarkali,54010,+92-316-7475947,Fast Food,2024-05-21,Fine Imposed,Critical,46,D,2024-06-18,2024-07-04,Routine Inspection,31.511215,74.397057,Lahore,Closed,Texas Chicken Old,Old Anarkali,Fast Food,46,Poor,No medical certificates for staff; poor hygiene.,True
30000592,Subway,Lahore,297,Samanabad Rd,Samanabad,54760,+92-306-5600997,Desi,2022-10-09,Re-inspection Required,Not Critical,78,B,2022-11-03,2022-10-14,Enforcement Raid,31.592095,74.235006,Lahore,Active,Subway,Samanabad,Desi,78,Good,Some utensils dirty; advised deep clean.,True
30000593,Broadway Pizza DHA,Lahore,464,Central Ave,DHA Phase 3,54810,+92-337-8541869,Pizza,2022-11-30,Re-inspection Required,Not Critical,78,B,2022-12-04,2022-12-07,Enforcement Raid,31.456017,74.38399,Lahore,Active,Broadway Pizza DHA,DHA Phase 3,Pizza,78,Good,Some utensils dirty; advised deep clean.,True
30000594,Papa John's Samanabad,Lahore,484,Samanabad Rd,Samanabad,54760,+92-42-9786292,Pizza,2024-11-20,Re-inspection Required,Not Critical,52,C,2024-12-07,2024-12-03,Follow-up,31.479141,74.208956,Lahore,Active,Papa John's Samanabad,Samanabad,Pizza,52,Average,Some utensils dirty; advised deep clean.,True
30000595,Monal,Lahore,8,Mall Rd,Saddar,54000,+92-300-1273090,Fast Food,2024-12-05,Warning Issued,Not Critical,81,B,2024-12-08,2024-12-07,Routine Inspection,31.551585,74.326276,Lahore,Active,Monal,Saddar,Fast Food,81,Good,Pests not observed but sanitation needs work.,True
30000596,Texas Chicken Ferozepur,Lahore,471,Service Rd,Ferozepur Road,54770,+92-307-1187973,Fast Food,2022-06-21,Warning Issued,Not Critical,63,C,2022-07-03,2022-06-26,Complaint-Based,31.462342,74.344901,Lahore,Active,Texas Chicken Ferozepur,Ferozepur Road,Fast Food,63,Average,No medical certificates for staff; poor hygiene.,True
30000597,Domino's Pizza,Lahore,149,Market Rd,Old Anarkali,54010,+92-305-9561996,Pizza,2022-04-08,Warning Issued,Not Critical,64,C,2022-05-03,2022-05-13,Follow-up,31.488997,74.261866,Lahore,Active,Domino's Pizza,Old Anarkali,Pizza,64,Average,Unsafe storage and mold in refrigerated unit.,True
30000598,Tim Hortons Lahore,Lahore,162,Cantt Rd,Lahore Cantt,54770,+92-312-1283563,Cafe,2024-07-25,Fine Imposed,Not Critical,66,C,2024-07-25,2024-08-17,Complaint-Based,31.638692,74.390499,Lahore,Active,Tim Hortons Lahore,Lahore Cantt,Cafe,66,Average,Unsafe storage and mold in refrigerated unit.,True
30000599,Domino's Pizza DHA,Lahore,195,DHA Main Blvd,DHA Phase 5,54792,+92-302-8313384,Pizza,2024-06-05,Warning Issued,Not Critical,51,C,2024-06-18,2024-06-22,Routine Inspection,31.464765,74.380997,Lahore,Active,Domino's Pizza DHA,DHA Phase 5,Pizza,51,Average,Expired items found; immediate action required.,True
30000600,Burger King Lahore,Lahore,470,Main Blvd,Lahore Cantt,54770,+92-42-2626031,Pizza,2023-08-01,Passed,Not Critical,97,A,2023-08-11,2023-08-07,Enforcement Raid,31.572824,74.384479,Lahore,Active,Burger King Lahore,Lahore Cantt,Pizza,97,Excellent,Storage organized; recommend improved handwashing.,True
30000601,Gloria Jean's Ferozepur,Lahore,138,Service Rd,Ferozepur Road,54770,+92-339-1252403,Cafe,2024-01-23,Re-inspection Required,Not Critical,72,B,2024-02-05,2024-02-18,Follow-up,31.50884,74.228165,Lahore,Active,Gloria Jean's Ferozepur,Ferozepur Road,Cafe,72,Good,Pests not observed but sanitation needs work.,True
30000602,Papa John's Lahore,Lahore,372,Main Blvd,Lahore Cantt,54770,+92-338-8702643,Pizza,2022-02-01,Warning Issued,Not Critical,83,B,2022-02-18,2022-03-08,Routine Inspection,31.544496,74.399001,Lahore,Active,Papa John's Lahore,Lahore Cantt,Pizza,83,Good,Packaging labels missing; hygiene average.,True
